rig,material_group,value_usd
AXIMA,DRIL_SKID,99022.09
AXIMA,RIG_MAINT,55528.14
AXIMA,DRIL_MUD,396776.08
AXIMA,AER_TRSP,388845.27
AXIMA,MECHA_SRV,87048.93
AXIMA,DRIL_CTRL,921766.76
AXIMA,NO MATERIAL,1376698.4
AXIMA,IT_TELCOM,476996.09
AXIMA,INSP_SRV,447775.42
AXIMA,CATRG_SRV,98330.1
AXIMA,MECHA_WRK,29900.16
AXIMA,DRIL_TDS,254481.93
AXIMA,PIPING,606030.02
AXIMA,CERT_SRV,128285.98
AXIMA,DRIL_HDLG,1396039.01
AXIMA,UTILITIES,169789.15
AXIMA,PAIN_COAT,148227.25
AXIMA,OFF_EQPT,62854.47
AXIMA,ELEC,904193.6
AXIMA,SHE,106362.26
AXIMA,HOUS_EQPT,53815.97
AXIMA,VLV_PIPNG,41748.14
AXIMA,SMAL_TOOL,221952.64
AXIMA,PIPE_SRV,398888.73
AXIMA,DRIL_CEM,42342.03
AXIMA,DRIL_TUB,81481.1
AXIMA,HDLG_LFTG,279865.99
AXIMA,DRIL_CUTT,11782.74
AXIMA,DRIL_HULL,17082.72
AXIMA,ROT_MACH,240419.07
AXIMA,MECHA,277142.91
AXIMA,MAIN_RTAL,60115.71
AXIMA,EXPR_TRSP,1824.18
AXIMA,INSTRUM,87577.84
AXIMA,DRIL_PMP,78820.81
AXIMA,IT_SRV,86414.17
AXIMA,TRNG_SRV,223596.37
AXIMA,INFIRMARY,15966.12
AXIMA,RAW,5966.36
AXIMA,STRUC_WRK,79353.02
AXIMA,DRIL_LOGG,263033.15
AXIMA,BOLTING,23347.66
AXIMA,BEV_FOOD,49488.36
AXIMA,CAR_RTAL,17587.5
AXIMA,STEEL_WRK,66023.9
AXIMA,STRUC_SRV,49310.83
AXIMA,WELL_CPL,877.73
AXIMA,PROCESS,48610.95
AXIMA,VISA_SRV,3516.59
AXIMA,SUR_ENG,6890.07
AXIMA,CHEM_CONS,10126.91
AXIMA,PPE,184187.8
AXIMA,PIPE_WRK,53998.35
AXIMA,LUBRICANT,51908.72
AXIMA,MOVE_SRV,18400.48
AXIMA,DRIL_WAST,65841.56
AXIMA,WATER_SRV,5699.82
AXIMA,PAIN_SRV,44363.59
AXIMA,MARI_SRV,46521.65
AXIMA,SCAFF_WRK,15064.56
AXIMA,DRIL_HOIS,39717.74
AXIMA,SCAF_SRV,48865.88
AXIMA,INST_SRV,18925.85
AXIMA,SEA_TRSP,92430.53
AXIMA,VLV_INST,8793.32
AXIMA,WELDI_SRV,38603.96
AXIMA,TEL_SRV,287083.3
AXIMA,BUIL_SRV,2037.16
AXIMA,LORO_TRSP,3074.4
AXIMA,DRIL_DRWK,39654.98
AXIMA,LABO,53893.63
AXIMA,DRIL_CLN,664.45
AXIMA,WELL_OCTG,1332.27
AXIMA,MARINE,112.05
AXIMA,WELL_WHX,17323.47
AXIMA,WELL_ACTV,3648.64
AXIMA,LIFT_SRV,95225.81
AXIMA,SUR_SRV,22905.41
AXIMA,TOPO_STDY,935.68
AXIMA,AUDIT_SRV,7331.06
AXIMA,ELE_SRV,7703.42
AXIMA,HEALT_SRV,170.8
AXIMA,PREF_WRK,6199.88
AXIMA,FUEL,177.63
AXIMA,HVAC_SRV,572.18
AXIMA,LIFT_MAIN,768.6
AXIMA,CHEM_WATT,3327.22
AXIMA,GOOD_TEST,1354.61
AXIMA,WELL_EXPL,50.98
AXIMA,WELL_CHEM,40213.67
AXIMA,ELE_WRK,196210.35
BANBA,DRIL_TUB,942805.36
BANBA,INSP_SRV,363701.97
BANBA,LIFT_MAIN,92602.13
BANBA,ELE_SRV,365280.86
BANBA,UTILITIES,47340.38
BANBA,DRIL_WAST,36888.6
BANBA,UTIL_RTAL,62410.02
BANBA,ELEC,906921.07
BANBA,SHE,92043.94
BANBA,NO MATERIAL,743694.58
BANBA,BEV_FOOD,60982.95
BANBA,CERT_SRV,161009.98
BANBA,INFIRMARY,43379.95
BANBA,DRIL_CUTT,33504.77
BANBA,PAIN_COAT,30672.91
BANBA,PIPING,154560.77
BANBA,GOOD_TEST,9664.56
BANBA,IT_TELCOM,102332.29
BANBA,VLV_PIPNG,111808.77
BANBA,DRIL_CTRL,173707.26
BANBA,SMAL_TOOL,153275.12
BANBA,CHEM_CONS,31603.42
BANBA,MECHA,431190.16
BANBA,AER_TRSP,254530.83
BANBA,SEA_TRSP,247004.51
BANBA,HDLG_LFTG,157740.12
BANBA,WELL_ACTV,917.23
BANBA,IT_SRV,188295.77
BANBA,TRNG_SRV,101647.92
BANBA,OFF_EQPT,32421.11
BANBA,BOLTING,22628.86
BANBA,PPE,160849.14
BANBA,INSTRUM,77416.33
BANBA,WELDI_SRV,429951.11
BANBA,MOVE_SRV,9676.82
BANBA,LUBRICANT,52280.04
BANBA,PIPE_WRK,52649.92
BANBA,RAW,17686.67
BANBA,ROT_MACH,356807.6
BANBA,DRIL_PMP,128203.79
BANBA,DRIL_HDLG,144714.71
BANBA,SCAF_SRV,42751.24
BANBA,DRIL_SKID,47081.34
BANBA,ARCHI_SRV,144528.72
BANBA,STRUC_WRK,10417.09
BANBA,LIFT_SRV,28137.93
BANBA,TYPO_SRV,6490.4
BANBA,STO_RTAL,3433.08
BANBA,CAR_RTAL,80113.2
BANBA,MAIL_SRV,85.4
BANBA,LABO,15599.73
BANBA,HOUS_EQPT,10574.22
BANBA,AID_SRV,88.82
BANBA,MAIN_RTAL,1078.09
BANBA,ELE_WRK,6490.4
BANBA,PIPE_SRV,12439.64
BANBA,BUIL_SRV,2664.48
BANBA,VISA_SRV,28979.98
BANBA,TEL_SRV,316594.18
BANBA,MET_STDY,31533.7
BANBA,DRIL_DRWK,144377.87
BANBA,DRIL_TDS,72229.61
BANBA,PROCESS,12053.76
BANBA,DRIL_CEM,6722.57
BANBA,DRIL_LOGG,69481.93
BANBA,DRIL_MUD,156207.1
BANBA,WELL_WHX,280.58
BANBA,WELL_EXPL,283.43
BANBA,MARINE,5565.61
BANBA,CHEM_INTE,6184.83
BANBA,DRIL_CLN,46502.34
BANBA,VLV_INST,64864.55
BANBA,WELL_CEM,4735.45
BANBA,MECHA_SRV,135060.83
BANBA,RIG_MAINT,96979.38
BANBA,CATRG_SRV,24082.8
BANBA,ACCO_SRV,21350.0
BANBA,PLIMB_WRK,256.2
BANBA,STRUC_SRV,21059.64
BANBA,LIFT_RTAL,80463.88
BANBA,WATER_SRV,24319.94
BANBA,STEEL_WRK,8403.36
BANBA,OFFI_SRV,450.91
BANBA,VES_RTAL,1366.4
BANBA,MEET_SRV,409.92
BANBA,WELL_CHEM,1793.4
BANBA,WELL_CPL,2637.89
NUADA,DRIL_TUB,129311.7
NUADA,HDLG_LFTG,1029286.48
NUADA,DRIL_SKID,124657.42
NUADA,ROT_MACH,1472831.11
NUADA,DRIL_TDS,643279.71
NUADA,DRIL_CTRL,550586.5
NUADA,SEA_TRSP,479813.52
NUADA,CERT_SRV,89637.2
NUADA,SMAL_TOOL,244893.13
NUADA,MAIN_RTAL,114416.97
NUADA,AER_TRSP,163211.32
NUADA,DRIL_HULL,130331.25
NUADA,IT_SRV,405123.14
NUADA,MARINE,18689.69
NUADA,ELEC,670106.32
NUADA,ELE_SRV,102436.45
NUADA,INSP_SRV,355625.56
NUADA,MECHA,354434.72
NUADA,VLV_PIPNG,246876.36
NUADA,PIPING,222954.98
NUADA,SHE,27430.92
NUADA,TEL_SRV,66306.78
NUADA,CUST_SRV,403.97
NUADA,PPE,151225.76
NUADA,CHEM_WATT,362.06
NUADA,UTILITIES,26687.87
NUADA,IT_TELCOM,96726.34
NUADA,MECHA_SRV,214656.48
NUADA,LEGAL_SRV,378.84
NUADA,EXPR_TRSP,2462.31
NUADA,MECHA_WRK,11517.06
NUADA,DRIL_WAST,75919.34
NUADA,STRUC_SRV,2589474.4
NUADA,TRNG_SRV,41418.5
NUADA,INST_WRK,45726.86
NUADA,LIFT_SRV,33274.47
NUADA,PIPE_SRV,51296.47
NUADA,TECH_SRV,2014.26
NUADA,PAIN_COAT,28442.75
NUADA,EXP_EXT,25244.93
NUADA,DRIL_MUD,175769.09
NUADA,HOUS_EQPT,8061.2
NUADA,MET_STDY,13471.72
NUADA,DRIL_PMP,343374.73
NUADA,INSTRUM,290348.18
NUADA,DRIL_HDLG,797372.56
NUADA,DRIL_DRWK,282862.69
NUADA,WELL_CHEM,5346.01
NUADA,DRIL_HOIS,25903.01
NUADA,VLV_INST,64595.08
NUADA,BOLTING,28634.36
NUADA,PROCESS,102601.34
NUADA,DRIL_CEM,64676.04
NUADA,LABO,12131.43
NUADA,WELL_CPL,49952.08
NUADA,LUBRICANT,43635.95
NUADA,DRIL_LOGG,145832.71
NUADA,OFF_EQPT,25423.01
NUADA,CHEM_CONS,102.44
NUADA,WELL_WHX,240.64
NUADA,RAW,7282.71
NUADA,WELL_BIT,964.26
NUADA,DRIL_CLN,3544.53
NUADA,WELL_CEM,3990.26
NUADA,VEHICLE,436.02
NUADA,DRIL_CUTT,602.53
NUADA,WELL_OCTG,2573.92
NUADA,INFIRMARY,195.25
LUG,MECHA_SRV,300022.53
LUG,MECHA,404232.37
LUG,DRIL_MUD,167281.32
LUG,DRIL_CTRL,146298.9
LUG,AER_TRSP,219472.16
LUG,ELEC,334779.42
LUG,ROT_MACH,176834.31
LUG,DRIL_WAST,69806.16
LUG,VLV_INST,132918.17
LUG,NO MATERIAL,1120778.24
LUG,RAW,134615.61
LUG,SMAL_TOOL,173435.61
LUG,DRIL_CLN,10070.89
LUG,HDLG_LFTG,222509.18
LUG,WELL_WHX,27417.24
LUG,PPE,79208.8
LUG,OFF_EQPT,75489.23
LUG,PAIN_COAT,75559.23
LUG,SHE,159975.91
LUG,IT_TELCOM,169357.03
LUG,DRIL_TDS,120766.13
LUG,PIPING,139146.19
LUG,UTILITIES,64644.9
LUG,BOLTING,56163.61
LUG,DRIL_LOGG,38930.1
LUG,LUBRICANT,43044.61
LUG,DRIL_CUTT,660.03
LUG,HOUS_EQPT,14786.04
LUG,MARINE,15662.36
LUG,VEHICLE,4611.6
LUG,DRIL_HDLG,64674.01
LUG,INSTRUM,90571.26
LUG,DRIL_HOIS,4464.46
LUG,VLV_PIPNG,75908.64
LUG,WELL_OCTG,3226.44
LUG,LABO,3948.97
LUG,TRNG_SRV,98235.09
LUG,ACCO_SRV,44759.44
LUG,INFIRMARY,579.01
LUG,TICK_SRV,527.91
LUG,SEA_TRSP,223072.28
LUG,BEV_FOOD,7855.22
LUG,LIFT_SRV,37139.84
LUG,IT_SRV,107876.61
LUG,CAR_RTAL,108996.73
LUG,WELDI_SRV,29934.41
LUG,DRIL_HULL,17966.1
LUG,PAIN_SRV,6470.59
LUG,CERT_SRV,77570.53
LUG,LIFT_MAIN,7066.68
LUG,INSP_SRV,172774.05
LUG,TRNST_SRV,1622.6
LUG,ELE_WRK,38631.4
LUG,WELL_ACTV,21204.33
LUG,OFFI_SRV,19947.21
LUG,MAIN_RTAL,159066.57
LUG,WELL_EXPL,2851.58
LUG,INST_WRK,3476.98
LUG,STEEL_WRK,1110.2
LUG,WELL_CEM,469.84
LUG,FUEL,9472.96
LUG,HOTEL_SRV,1484.97
LUG,ELE_SRV,14085.04
LUG,LEGAL_SRV,12833.91
LUG,CATRG_SRV,3715.75
LUG,SECU_SRV,1093.12
LUG,ENV_SRV,7686.0
LUG,WELL_BIT,248.24
LUG,PIPE_SRV,553.39
LUG,DRIL_PMP,190090.19
LUG,SCAF_SRV,3501.4
LUG,VISA_SRV,597.8
LUG,LIFT_RTAL,70909.33
LUG,HVAC_SRV,1405.12
LUG,INSUL_SRV,1528.09
LUG,BUIL_RTAL,6405.0
LUG,PROCESS,16481.34
LUG,DRIL_DRWK,6976.48
LUG,CHEM_INTE,403.82
LUG,WELL_CPL,7607.54
LUG,CHEM_CONS,507.85
MIDIR,DRIL_TUB,409190.72
MIDIR,DRIL_PMP,280332.5
MIDIR,DRIL_DRWK,67837.38
MIDIR,ROT_MACH,248852.95
MIDIR,UTILITIES,206015.88
