rig,material_group,value_usd
AXIMA,MECHA,615447.7
AXIMA,ELEC,793962.43
AXIMA,ROT_MACH,300728.23
AXIMA,PAIN_COAT,151303.02
AXIMA,PPE,1364579.68
AXIMA,DRIL_HDLG,616961.91
AXIMA,DRIL_PMP,310181.73
AXIMA,VLV_PIPNG,77340.03
AXIMA,SMAL_TOOL,427130.99
AXIMA,DRIL_TDS,82737.0
AXIMA,DRIL_DRWK,16470.4
AXIMA,BOLTING,6911.32
AXIMA,DRIL_CTRL,325107.36
AXIMA,DRIL_MUD,131028.42
AXIMA,PIPING,240491.52
AXIMA,HDLG_LFTG,76916.79
AXIMA,DRIL_CEM,48396.72
AXIMA,NO MATERIAL,19344.43
AXIMA,WELL_CPL,750927.39
AXIMA,IT_TELCOM,14245.29
AXIMA,LUBRICANT,326214.88
AXIMA,DRIL_WAST,119435.58
AXIMA,PROCESS,25363.65
AXIMA,WELL_CHEM,3699.42
AXIMA,INSTRUM,30422.13
AXIMA,DRIL_SKID,4019.51
AXIMA,DRIL_HOIS,1989.33
AXIMA,HOUS_EQPT,9393.7
AXIMA,DRIL_TUB,19421.65
AXIMA,WELL_OCTG,0.0
AXIMA,DRIL_LOGG,113706.61
AXIMA,LABO,38132.25
AXIMA,SHE,19297.24
AXIMA,UTILITIES,84960.5
AXIMA,DRIL_CLN,1385.01
AXIMA,WELL_EXPL,23.8
AXIMA,OFF_EQPT,39340.54
AXIMA,CHEM_CONS,30251.2
AXIMA,MARINE,151.63
AXIMA,CHEM_STIM,5728.88
AXIMA,RAW,7047.81
AXIMA,VLV_INST,13792.57
AXIMA,DRIL_CUTT,1925.69
AXIMA,WELL_CEM,0.0
AXIMA,WELL_FISH,0.0
AXIMA,M300,11955.9
AXIMA,WELL_WHX,4854.15
AXIMA,WELL_ACTV,893.9
AXIMA,M500,54.58
AXIMA,CONS_RIG,0.0
AXIMA,M900,35.01
AXIMA,M800,0.0
AXIMA,M700,2705.6
AXIMA,M400,45.59
AXIMA,M600,0.0
BANBA,ELEC,381274.1
BANBA,HDLG_LFTG,191644.1
BANBA,MECHA,183756.86
BANBA,DRIL_CTRL,93293.26
BANBA,DRIL_DRWK,28065.01
BANBA,DRIL_PMP,95628.03
BANBA,BOLTING,5894.37
BANBA,VLV_PIPNG,32196.78
BANBA,DRIL_TDS,67156.57
BANBA,ROT_MACH,128218.01
BANBA,INSTRUM,61868.47
BANBA,LUBRICANT,75789.15
BANBA,PIPING,20243.98
BANBA,WELL_CHEM,703.62
BANBA,DRIL_SKID,12385.92
BANBA,DRIL_HDLG,119173.59
BANBA,HOUS_EQPT,314.61
BANBA,DRIL_CEM,19329.86
BANBA,DRIL_WAST,16572.04
BANBA,IT_TELCOM,979.6
BANBA,SMAL_TOOL,53606.45
BANBA,DRIL_MUD,73520.91
BANBA,PPE,132098.87
BANBA,UTILITIES,16421.32
BANBA,DRIL_CLN,4576.21
BANBA,MARINE,3555.62
BANBA,CHEM_CONS,5586.7
BANBA,VLV_INST,36483.72
BANBA,PROCESS,67263.09
BANBA,DRIL_LOGG,36704.77
BANBA,LABO,808.96
BANBA,RAW,0.03
BANBA,SHE,6706.84
BANBA,PAIN_COAT,590.61
BANBA,OFF_EQPT,3959.01
BANBA,WELL_CEM,1260.6
BANBA,WELL_CPL,126312.51
BANBA,NO MATERIAL,467799.43
