rig,material_group,value_usd
AXIMA,PAIN_COAT,142225.28
AXIMA,SMAL_TOOL,184558.42
AXIMA,LUBRICANT,48911.24
AXIMA,DRIL_SKID,119420.09
AXIMA,HDLG_LFTG,288752.83
AXIMA,PIPING,383981.94
AXIMA,OFF_EQPT,50239.51
AXIMA,DRIL_HULL,393376.73
AXIMA,SHE,113305.46
AXIMA,DRIL_HOIS,6023.87
AXIMA,PPE,181762.56
AXIMA,RAW,12952.99
AXIMA,IT_TELCOM,261456.44
AXIMA,AER_TRSP,351027.16
AXIMA,WELDI_SRV,83801.82
AXIMA,HEALT_SRV,341.6
AXIMA,INFIRMARY,11238.34
AXIMA,TECH_SRV,4500.0
AXIMA,ELEC,758568.26
AXIMA,MECHA_WRK,1.0
AXIMA,MECHA,994483.74
AXIMA,VLV_PIPNG,86224.37
AXIMA,DRIL_CTRL,1036600.06
AXIMA,MECHA_SRV,106706.29
AXIMA,ROT_MACH,501772.05
AXIMA,CAR_RTAL,11541.72
AXIMA,AUDIT_SRV,7625.0
AXIMA,INSP_SRV,294741.14
AXIMA,LABO,64933.71
AXIMA,TRNG_SRV,315833.74
AXIMA,DRIL_HDLG,1129905.6
AXIMA,BOLTING,105407.91
AXIMA,MARINE,939.24
AXIMA,VLV_INST,21984.01
AXIMA,LIFT_SRV,98787.4
AXIMA,UTILITIES,380723.32
AXIMA,DRIL_PMP,84118.19
AXIMA,CHEM_WATT,3327.22
AXIMA,CERT_SRV,133112.18
AXIMA,BEV_FOOD,49304.2
AXIMA,MOVE_SRV,18660.74
AXIMA,SEA_TRSP,112894.1
AXIMA,DRIL_TDS,163907.83
AXIMA,DRIL_TUB,117239.48
AXIMA,LIFT_MAIN,8904.1
AXIMA,INSTRUM,79980.35
AXIMA,HOUS_EQPT,28508.03
AXIMA,IT_SRV,165075.92
AXIMA,PROCESS,44029.77
AXIMA,PAIN_SRV,43146.64
AXIMA,CHEM_CONS,9435.85
AXIMA,DRIL_WAST,98857.67
AXIMA,WATER_SRV,5699.82
AXIMA,PIPE_WRK,56944.65
AXIMA,CATRG_SRV,98330.1
AXIMA,WELL_ACTV,1787.8
AXIMA,DRIL_MUD,270214.21
AXIMA,PIPE_SRV,222578.94
AXIMA,ELE_SRV,5881.0
AXIMA,DRIL_CEM,80648.24
AXIMA,TOPO_STDY,980.0
AXIMA,WELL_WHX,186.5
AXIMA,DRIL_CUTT,13016.6
AXIMA,GOOD_TEST,1354.61
AXIMA,WELL_CPL,681.92
AXIMA,WASTE_SRV,884.09
AXIMA,HVAC_SRV,572.18
AXIMA,DRIL_LOGG,71324.34
AXIMA,TEL_SRV,280809.98
AXIMA,PREF_WRK,6199.88
AXIMA,SUR_SRV,24073.3
AXIMA,FUEL,177.63
AXIMA,WELL_CHEM,39679.84
AXIMA,WELL_OCTG,1998.0
AXIMA,WELL_EXPL,49.5
AXIMA,LIFT_RTAL,5132.74
AXIMA,MAIN_RTAL,48287.42
AXIMA,EXPR_TRSP,4251.85
AXIMA,LORO_TRSP,3074.4
AXIMA,SCAF_SRV,40923.68
AXIMA,SCAFF_WRK,15064.56
AXIMA,STRUC_SRV,33021.58
AXIMA,STEEL_WRK,51384.83
AXIMA,RIG_MAINT,58213.41
AXIMA,STRUC_WRK,39552.88
AXIMA,VISA_SRV,3472.48
AXIMA,SUR_ENG,6890.07
AXIMA,INST_SRV,11972.02
AXIMA,DRIL_CLN,105.0
AXIMA,DRIL_DRWK,15379.24
AXIMA,MARI_SRV,46521.65
AXIMA,ELE_WRK,182416.66
BANBA,PPE,134717.22
BANBA,BOLTING,23104.19
BANBA,SMAL_TOOL,159094.56
BANBA,HDLG_LFTG,150032.11
BANBA,RAW,31970.34
BANBA,ELEC,1007207.71
BANBA,UTILITIES,34315.63
BANBA,TRNG_SRV,142499.02
BANBA,VES_RTAL,7310.24
BANBA,VISA_SRV,28146.47
BANBA,CATRG_SRV,24082.8
BANBA,MECHA_SRV,133287.4
BANBA,ELE_SRV,739470.23
BANBA,BEV_FOOD,58358.59
BANBA,CAR_RTAL,77808.33
BANBA,INSP_SRV,369600.61
BANBA,SCAF_SRV,54761.9
BANBA,LIFT_RTAL,97373.08
BANBA,MECHA,857515.76
BANBA,LIFT_SRV,28137.93
BANBA,AER_TRSP,249189.83
BANBA,WELDI_SRV,435891.36
BANBA,OFF_EQPT,32846.18
BANBA,CERT_SRV,174188.28
BANBA,PIPING,169744.98
BANBA,SHE,126143.26
BANBA,DRIL_MUD,238873.12
BANBA,WELL_CPL,2722.1
BANBA,IT_TELCOM,140125.12
BANBA,RIG_MAINT,87371.02
BANBA,MET_STDY,32429.29
BANBA,ACCO_SRV,12810.0
BANBA,DRIL_PMP,90428.62
BANBA,ROT_MACH,391278.95
BANBA,INFIRMARY,44469.31
BANBA,DRIL_DRWK,143609.17
BANBA,PIPE_WRK,29061.69
BANBA,STEEL_WRK,8403.36
BANBA,IT_SRV,262692.98
BANBA,OFFI_SRV,450.91
BANBA,ELE_WRK,111464.52
BANBA,SEA_TRSP,279837.35
BANBA,STRUC_SRV,156231.59
BANBA,LIFT_MAIN,90048.44
BANBA,DRIL_WAST,42355.7
BANBA,PAIN_COAT,31170.06
BANBA,MOVE_SRV,11913.68
BANBA,MARINE,2831.26
BANBA,HOUS_EQPT,5878.92
BANBA,INSTRUM,208152.36
BANBA,PLIMB_WRK,256.2
BANBA,ARCHI_SRV,145098.96
BANBA,WELL_CHEM,1562.45
BANBA,WATER_SRV,25899.84
BANBA,DRIL_CTRL,229838.41
BANBA,VLV_PIPNG,101640.39
BANBA,LABO,13781.4
BANBA,STO_RTAL,3433.08
BANBA,LUBRICANT,50861.6
BANBA,PIPE_SRV,16721.59
BANBA,VLV_INST,71360.81
BANBA,DRIL_CLN,99136.71
BANBA,DRIL_HDLG,161032.93
BANBA,WELL_EXPL,277.34
BANBA,PROCESS,119098.7
BANBA,DRIL_LOGG,41792.86
BANBA,CHEM_CONS,16550.99
BANBA,DRIL_CEM,10258.45
BANBA,TEL_SRV,302086.2
BANBA,DRIL_SKID,32185.8
BANBA,DRIL_TUB,657665.67
BANBA,MEET_SRV,409.92
BANBA,DRIL_TDS,49116.54
BANBA,CUT_SRV,214.35
BANBA,BUIL_SRV,19928.43
BANBA,CHEM_STIM,301.52
BANBA,WELL_ACTV,875.7
BANBA,TYPO_SRV,6490.4
BANBA,MAIN_RTAL,1078.09
BANBA,WELL_CEM,2910.6
BANBA,DRIL_HOIS,61848.15
BANBA,AID_SRV,88.82
BANBA,DRIL_CUTT,34404.7
BANBA,STRUC_WRK,6010.45
BANBA,MAIL_SRV,85.4
BANBA,UTIL_RTAL,31205.01
BANBA,CHEM_INTE,5435.7
BANBA,WELL_WHX,230.68
NUADA,ROT_MACH,137909.59
NUADA,SEA_TRSP,390426.6
NUADA,MAIN_RTAL,94770.59
NUADA,LEGAL_SRV,300.0
NUADA,INST_WRK,34755.85
NUADA,AER_TRSP,126928.23
NUADA,STRUC_SRV,1653461.94
NUADA,TRNG_SRV,28474.99
NUADA,IT_TELCOM,20394.52
NUADA,MET_STDY,7588.62
NUADA,TECH_SRV,1802.31
NUADA,SMAL_TOOL,59424.35
NUADA,SHE,6898.95
NUADA,MECHA_WRK,9098.65
NUADA,EXPR_TRSP,1961.5
NUADA,CUST_SRV,323.81
NUADA,HOUS_EQPT,1082.39
NUADA,HDLG_LFTG,81957.16
