rig,kind,material_group,value_usd,rig_total_usd,pct_of_rig_total
AXIMA,GR,DRIL_HDLG,1396039.01,15188532.4,9.19
AXIMA,GR,NO MATERIAL,1376698.4,15188532.4,9.06
AXIMA,GR,ELEC,1030714.64,15188532.4,6.79
AXIMA,GR,INSP_SRV,939479.46,15188532.4,6.19
AXIMA,GR,DRIL_CTRL,921766.76,15188532.4,6.07
BANBA,GR,DRIL_TUB,942805.36,9384010.12,10.05
BANBA,GR,ELEC,906921.07,9384010.12,9.66
BANBA,GR,NO MATERIAL,743694.58,9384010.12,7.93
BANBA,GR,MECHA,431190.16,9384010.12,4.59
BANBA,GR,WELDI_SRV,429951.11,9384010.12,4.58
NUADA,GR,STRUC_SRV,2589474.4,13539397.67,19.13
NUADA,GR,ROT_MACH,1472831.11,13539397.67,10.88
NUADA,GR,HDLG_LFTG,1029286.48,13539397.67,7.6
NUADA,GR,DRIL_HDLG,797372.56,13539397.67,5.89
NUADA,GR,ELEC,670106.32,13539397.67,4.95
LUG,GR,NO MATERIAL,1120778.24,6488064.19,17.27
LUG,GR,MECHA,404232.37,6488064.19,6.23
LUG,GR,ELEC,334779.42,6488064.19,5.16
LUG,GR,MECHA_SRV,300022.53,6488064.19,4.62
LUG,GR,SEA_TRSP,223072.28,6488064.19,3.44
MIDIR,GR,MAIN_RTAL,834906.86,9611583.58,8.69
MIDIR,GR,DRIL_HDLG,819417.63,9611583.58,8.53
MIDIR,GR,ELEC,769072.02,9611583.58,8.0
MIDIR,GR,WELL_CEM,713467.87,9611583.58,7.42
MIDIR,GR,DRIL_CTRL,647514.0,9611583.58,6.74
DRAVUS,GR,PROCESS,5491810.52,16475404.62,33.33
DRAVUS,GR,NO MATERIAL,3563797.49,16475404.62,21.63
DRAVUS,GR,ELEC,678097.36,16475404.62,4.12
DRAVUS,GR,STO_RTAL,639379.55,16475404.62,3.88
DRAVUS,GR,MECHA,587655.53,16475404.62,3.57
