rig,kind,material_group,value_usd,rig_total_usd,pct_of_rig_total
AXIMA,IO,PPE,1364579.68,7286460.71,18.73
AXIMA,IO,ELEC,793962.43,7286460.71,10.9
AXIMA,IO,WELL_CPL,750927.39,7286460.71,10.31
AXIMA,IO,DRIL_HDLG,616961.91,7286460.71,8.47
AXIMA,IO,MECHA,615447.7,7286460.71,8.45
BANBA,IO,NO MATERIAL,467799.43,2584701.82,18.1
BANBA,IO,ELEC,381274.1,2584701.82,14.75
BANBA,IO,HDLG_LFTG,191644.1,2584701.82,7.41
BANBA,IO,MECHA,183756.86,2584701.82,7.11
BANBA,IO,PPE,132098.87,2584701.82,5.11
NUADA,IO,ROT_MACH,843933.67,4193455.64,20.13
NUADA,IO,PPE,369578.78,4193455.64,8.81
NUADA,IO,MECHA,324972.63,4193455.64,7.75
NUADA,IO,SMAL_TOOL,316420.08,4193455.64,7.55
NUADA,IO,HDLG_LFTG,286585.04,4193455.64,6.83
LUG,IO,NO MATERIAL,195690.49,1761304.03,11.11
LUG,IO,DRIL_PMP,175453.19,1761304.03,9.96
LUG,IO,HDLG_LFTG,160953.45,1761304.03,9.14
LUG,IO,PPE,153559.61,1761304.03,8.72
LUG,IO,WELL_CPL,145501.41,1761304.03,8.26
MIDIR,IO,ROT_MACH,301270.03,1456637.51,20.68
MIDIR,IO,DRIL_PMP,261854.34,1456637.51,17.98
MIDIR,IO,DRIL_TDS,204987.52,1456637.51,14.07
MIDIR,IO,DRIL_HDLG,176451.99,1456637.51,12.11
MIDIR,IO,ELEC,80952.56,1456637.51,5.56
DRAVUS,IO,ROT_MACH,122690.56,1035506.29,11.85
DRAVUS,IO,DRIL_PMP,119416.11,1035506.29,11.53
DRAVUS,IO,DRIL_LOGG,83369.35,1035506.29,8.05
DRAVUS,IO,HDLG_LFTG,79260.88,1035506.29,7.65
DRAVUS,IO,NO MATERIAL,74399.23,1035506.29,7.18
