rig,kind,material_group,value_usd,rig_total_usd,pct_of_rig_total
AXIMA,PO,DRIL_HDLG,1129905.6,13454338.54,8.4
AXIMA,PO,DRIL_CTRL,1036600.06,13454338.54,7.7
AXIMA,PO,MECHA,994483.74,13454338.54,7.39
AXIMA,PO,ELEC,758568.26,13454338.54,5.64
AXIMA,PO,INSP_SRV,627273.12,13454338.54,4.66
BANBA,PO,ELEC,1007207.71,10092582.39,9.98
BANBA,PO,MECHA,857515.76,10092582.39,8.5
BANBA,PO,ELE_SRV,739470.23,10092582.39,7.33
BANBA,PO,DRIL_TUB,657665.67,10092582.39,6.52
BANBA,PO,WELDI_SRV,435891.36,10092582.39,4.32
NUADA,PO,STRUC_SRV,1653461.94,4444692.2,37.2
NUADA,PO,SEA_TRSP,390426.6,4444692.2,8.78
NUADA,PO,IT_SRV,370318.67,4444692.2,8.33
NUADA,PO,INSP_SRV,296229.92,4444692.2,6.66
NUADA,PO,MECHA_SRV,188677.98,4444692.2,4.25
LUG,PO,ELEC,511451.45,7552695.85,6.77
LUG,PO,MECHA,460986.86,7552695.85,6.1
LUG,PO,DRIL_CTRL,375305.38,7552695.85,4.97
LUG,PO,HDLG_LFTG,359194.78,7552695.85,4.76
LUG,PO,MECHA_SRV,339173.09,7552695.85,4.49
MIDIR,PO,MAIN_RTAL,895259.75,7832662.6,11.43
MIDIR,PO,DRIL_CTRL,760267.3,7832662.6,9.71
MIDIR,PO,ELEC,731145.97,7832662.6,9.33
MIDIR,PO,TEL_SRV,441714.0,7832662.6,5.64
MIDIR,PO,DRIL_TUB,415681.2,7832662.6,5.31
DRAVUS,PO,STO_RTAL,897800.81,7621103.19,11.78
DRAVUS,PO,ELEC,829572.76,7621103.19,10.89
DRAVUS,PO,MAIN_RTAL,550613.41,7621103.19,7.22
DRAVUS,PO,PIPING,523769.17,7621103.19,6.87
DRAVUS,PO,MECHA,478503.91,7621103.19,6.28
